id,text,username,hashtags,created_at,user followers count,replycount,retweetcount,likecount,quotecount,language,quotedtweet,inReplyToTweetId,inReplyToUser,mentionedUsers
1529235395812155392,"India has won the Thomas cup,  @nikhat_zareen won the gold. @vishy64theking ended up joint 2nd with 0.5 points behind in Super bet. @rpragchess has beat World no.1 Magnus and fighting World No. 2 Ding to clinch the title. Is IPL still a tournament to watch? #India #IndianEra",themohanty_,"['India', 'IndianEra']",2022-05-24 22:58:24+00:00,43,0,0,3,0,en,,,,"India has won the Thomas cup,  @nikhat_zareen won the gold. @vishy64theking ended up joint 2nd with 0.5 points behind in Super bet. @rpragchess has beat World no.1 Magnus and fighting World No. 2 Ding to clinch the title. Is IPL still a tournament to watch? #India #IndianEra"
1528224948111941633,PM’s interaction with Thomas Cup Champions is amazing. Simple yet inspirational &amp; satisfying. Congratulations #India !!  Every players story is beautiful and PM’s personalised interaction is stunning #ThomasCup @BadmintonIndia @PMOIndia @narendramodi,goikarpk,"['India', 'ThomasCup']",2022-05-22 04:03:15+00:00,51,0,0,1,0,en,,,,PM’s interaction with Thomas Cup Champions is amazing. Simple yet inspirational &amp; satisfying. Congratulations #India !!  Every players story is beautiful and PM’s personalised interaction is stunning #ThomasCup @BadmintonIndia @PMOIndia @narendramodi
1527216966171144193,"India won maiden Thomas Cup after defeating 14-time champion Indonesia! Proud Indian Moment🇮🇳
India registered a 3-0 victory over 14-time champions Indonesia. This is India's first-ever Thomas Cup victory in 73 years. 

#ThomasCup #India #ThomasUberCup2022",BeShararat,"['ThomasCup', 'India', 'ThomasUberCup2022']",2022-05-19 09:17:53+00:00,4,0,1,1,0,en,,,,"India won maiden Thomas Cup after defeating 14-time champion Indonesia! Proud Indian Moment🇮🇳
India registered a 3-0 victory over 14-time champions Indonesia. This is India's first-ever Thomas Cup victory in 73 years. 

#ThomasCup #India #ThomasUberCup2022"
1526912239910785024,"#India's bunch of exceptionally proficient #Badminton players lifted the #ThomasCup2022 at #Bangkok on Sun,May15,22, defeating
14- times champion #Indonesia against everyone's expectations. It was a defining moment for #IndianBadminton, as this was our very first #ThomasCup win.",aaiprayagraj,"['India', 'Badminton', 'ThomasCup2022', 'Bangkok', 'Indonesia', 'IndianBadminton', 'ThomasCup']",2022-05-18 13:07:01+00:00,1553,0,1,1,0,en,,,,"#India's bunch of exceptionally proficient #Badminton players lifted the #ThomasCup2022 at #Bangkok on Sun,May15,22, defeating
14- times champion #Indonesia against everyone's expectations. It was a defining moment for #IndianBadminton, as this was our very first #ThomasCup win."
1526893293136924672,"#India's bunch of exceptionally proficient #Badminton players lifted the #ThomasCup2022 at #Bangkok on Sun,May15,22, defeating
14- times champion #Indonesia against everyone's expectations. It was a defining moment for #IndianBadminton, as this was our very first #ThomasCup win.",aaisapairport,"['India', 'Badminton', 'ThomasCup2022', 'Bangkok', 'Indonesia', 'IndianBadminton', 'ThomasCup']",2022-05-18 11:51:44+00:00,1192,0,0,0,0,en,,,,"#India's bunch of exceptionally proficient #Badminton players lifted the #ThomasCup2022 at #Bangkok on Sun,May15,22, defeating
14- times champion #Indonesia against everyone's expectations. It was a defining moment for #IndianBadminton, as this was our very first #ThomasCup win."
1526498843566952448,"India won by 3-0 from Indonesia and Greenit is winning over unhealthy food hands down every day!

#ThomasCup2022 #ThomasCup #Greenit #India",greenitfoods,"['ThomasCup2022', 'ThomasCup', 'Greenit', 'India']",2022-05-17 09:44:19+00:00,4,0,0,2,0,en,,,,"India won by 3-0 from Indonesia and Greenit is winning over unhealthy food hands down every day!

#ThomasCup2022 #ThomasCup #Greenit #India"
1526426936909570049,"Many many congratulations to Indian team for winning #ThomasCup2022 and also to every Indian for this moment. 👏 
.
.
#BadmintonIndonesia #ThomasCup #India #IndianBadminton #Badminton",AenSaharan,"['ThomasCup2022', 'BadmintonIndonesia', 'ThomasCup', 'India', 'IndianBadminton', 'Badminton']",2022-05-17 04:58:36+00:00,12,0,0,0,0,en,,,,"Many many congratulations to Indian team for winning #ThomasCup2022 and also to every Indian for this moment. 👏 
.
.
#BadmintonIndonesia #ThomasCup #India #IndianBadminton #Badminton"
1526288164754702336,"@ANI Historic: #India🇮🇳 won #ThomasCup for first time in 73 years 👏👏👏 Indian badminton team entered final for first time ever &amp; they beat 14 times champion #Indonesia with 3-0, unbelievable 👍this achievement is like when ICT won 83 WC against world champion WI💪 #Proud_Indian🇮🇳",Mittul_253,"['India', 'ThomasCup', 'Indonesia', 'Proud_Indian']",2022-05-16 19:47:10+00:00,141,0,2,12,0,en,,1.5262878794454876e+18,https://twitter.com/ANI,"@ANI Historic: #India🇮🇳 won #ThomasCup for first time in 73 years 👏👏👏 Indian badminton team entered final for first time ever &amp; they beat 14 times champion #Indonesia with 3-0, unbelievable 👍this achievement is like when ICT won 83 WC against world champion WI💪 #Proud_Indian🇮🇳"
1526259384099405824,"The nation stands thrilled as the Indian #Badminton  team scripts history, Congratulations on the Thomas cup win for the first time ever!!
#ThomasCup #India #History",ThatBenzeneRing,"['Badminton', 'ThomasCup', 'India', 'History']",2022-05-16 17:52:48+00:00,59,0,8,10,0,en,,,,"The nation stands thrilled as the Indian #Badminton  team scripts history, Congratulations on the Thomas cup win for the first time ever!!
#ThomasCup #India #History"
1526229405038616576,"Congrats to #IndianBadmintonTeam on the historical #ThomasCup2022 victory! 
#ThomasCup 
Gold medal waiting for #India in Olympics #Badminton ...",Indian_Rainman,"['IndianBadmintonTeam', 'ThomasCup2022', 'ThomasCup', 'India', 'Badminton']",2022-05-16 15:53:40+00:00,5376,0,1,9,0,en,,,,"Congrats to #IndianBadmintonTeam on the historical #ThomasCup2022 victory! 
#ThomasCup 
Gold medal waiting for #India in Olympics #Badminton ..."
